st_show_name;station;arr_dir;arr_graph;arrive;arrive18;arrive6;strip;strip18;strip6;dep_dir;dep_graph;depart;depart18;depart6;form;form18;form6
ТАЙШЕТ;ТАЙШЕТ;;;169;74;95;50;24;26;;;174;78;96;51;23;28
ЮРТЫ;ЮРТЫ;чет;56;61;24;37;18;8;10;неч;53;54;22;32;14;6;8
НЕВЕЛЬСКАЯ;ТОРЕЯ;неч;26;18;9;9;10;5;5;чет;26;24;12;12;12;6;6
НИЖНЕУДИНСК;БАЙРОНОВКА;неч;43;68;32;36;20;10;10;чет;37;74;34;40;14;6;8
САЯНСКАЯ;ТАГУЛ;чет;23;22;9;13;2;1;1;неч;22;22;10;12;11;5;6
НИЖНЕУДИНСК;НИЖНЕУДИНСК;;;144;69;75;;;;;;142;66;76;;;
ТАЙШЕТ;АЛЗАМАЙ;чет;;74;34;40;;;;неч;;68;32;36;;;
ЗИМА;УДА II;неч;;70;35;35;;;;чет;;74;34;40;;;
ЗИМА;ЗИМА;;;144;69;75;;;;;;148;74;74;;;
НИЖНЕУДИНСК;ПЕРЕВОЗ;чет;;74;34;40;;;;неч;;70;35;35;;;
ИРКУТСК-СОРТИРОВОЧНЫ;ЗАЛАРИ;неч;;70;35;35;;;;чет;;78;39;39;;;
ИРКУТСК-СОРТИРОВОЧНЫ;ИРКУТСК-СОРТИРОВОЧНЫЙ;;;144;72;72;40;20;20;;;156;78;78;40;20;20
ЗИМА;БАТАРЕЙНАЯ;чет;57;78;39;39;20;10;10;неч;67;70;35;35;20;10;10
СЛЮДЯНКА I;ГОНЧАРОВО;неч;53;66;33;33;20;10;10;чет;69;86;43;43;20;10;10
СЛЮДЯНКА-1;СЛЮДЯНКА I;;;148;74;74;;;;;;152;76;76;;;
ИРКУТСК-СОРТИРОВОЧНЫ;СЛЮДЯНКА II;чет;;86;43;43;;;;неч;;66;33;33;;;
МЫСОВАЯ;БАЙКАЛЬСК;неч;;62;31;31;;;;чет;;86;43;43;;;
УЛАН-УДЭ;ЗАУДИНСКИЙ;;;149;69;80;;;;;;149;74;75;;;
МЫСОВАЯ;УЛАН-УДЭ;чет;;86;43;43;;;;неч;;62;31;31;;;
ПЕТРОВСКИЙ ЗАВОД;ТАЛЬЦЫ;неч;;60;25;35;;;;чет;;84;42;42;;;
НАУШКИ;ЗАГУСТАЙ;неч;;3;1;2;;;;чет;;3;1;2;;;
НАУШКИ;НАУШКИ;;;6;2;4;;;;;;6;2;4;;;
УЛАН-УДЭ;ХАРАНХОЙ;чет;11;3;1;2;;;;неч;;3;1;2;;;
НАУШКИ (МОНГОЛИЯ С.-;НАУШКИ (МОНГОЛИЯ);неч;;3;1;2;;;;чет;12;3;1;2;;;
ВИХОРЕВКА;ВИХОРЕВКА;;;40;20;20;;;;;;40;20;20;;;
ЧУНА;ТУРМА;чет;;24;12;12;;;;неч;;18;9;9;;;
ГИДРОСТРОИТЕЛЬ;МОРГУДОН;неч;;16;8;8;;;;чет;;22;11;11;;;
КОРШУНИХА;ХРЕБТОВАЯ;;;42;21;21;;;;;;42;21;21;;;
ГИДРОСТРОИТЕЛЬ;КОРШУНИХА-АНГАРСКАЯ;чет;;22;11;11;;;;неч;;16;8;8;;;
ИГИРМА;ИГИРМА;неч;;8;4;4;;;;чет;;8;4;4;;;
ЛЕНА;ЛЕНА;;;12;6;6;;;;;;18;9;9;;;
УСТЬ-ИЛИМСК;УСТЬ-ИЛИМСК;;;;;;;;;;;;;;;;
ЛЕНА;ЛЕНА;;;28;14;14;;;;;;28;14;14;;;
КИРЕНГА;ЯКУРИМ;чет;;16;8;8;;;;неч;;10;5;5;;;
КОРШУНИХА;ХРЕБТОВАЯ;неч;;12;6;6;;;;чет;;18;9;9;;;
СЕВЕРОБАЙКАЛЬСК;СЕВЕРОБАЙКАЛЬСК;;;26;13;13;;;;;;24;12;12;;;
КИРЕНГА;ТЫЯ;чет;;16;8;8;;;;неч;;10;5;5;;;
НОВЫЙ УОЯН;НОВЫЙ УОЯН;неч;;10;5;5;;;;чет;;14;7;7;;;
НОВЫЙ УОЯН;НОВЫЙ УОЯН;;;24;12;12;;;;;;24;12;12;;;
СЕВЕРОБАЙКАЛЬСК;СЕВЕРОБАЙКАЛЬСК;чет;;14;7;7;;;;неч;;10;5;5;;;
ТАКСИМО;АНГАРАКАН;неч;;10;5;5;;;;чет;;14;7;7;;;
ТАКСИМО;ТАКСИМО;;;22;11;11;;;;;;24;12;12;;;
НОВЫЙ УОЯН;КАЗАНКАН;чет;;14;7;7;;;;неч;;10;5;5;;;
НОВАЯ ЧАРА;КУАНДА;неч;;8;4;4;;;;чет;;14;7;7;;;
НОВАЯ ЧАРА;НОВАЯ ЧАРА;;;22;11;11;;;;;;19;9;10;;;
ТАКСИМО;СЮЛЬБАН;чет;14;14;7;7;;;;неч;16;8;4;4;;;
ХАНИ;ИКАБЬЯКАН;неч;14;8;4;4;;;;чет;11;11;5;6;;;
