st_show_name;station;arr_dir;arr_graph;arrive;arrive18;arrive6;strip;strip18;strip6;dep_dir;dep_fraph;depart;depart18;depart6;form;form18;form6
ЧИТА I;ЧИТА I;;;160;82;78;4;2;2;;;159;81;78;4;2;2
КАРЫМСКАЯ;КАРЫМСКАЯ;неч;75;75;39;36;2;1;1;чет;75;85;43;42;2;1;1
ХИЛОК;КАДАЛА;чет;75;85;43;42;2;1;1;неч;75;74;38;36;2;1;1
КАРЫМСКАЯ;ТАРСКАЯ;;;;;;;;;;;;;;;;
ОЛОВЯННАЯ;АДРИАНОВКА;неч;24;14;7;7;;;;чет;24;12;6;6;;;
ЧИТА I;КАРЫМСКАЯ;чет;75;85;43;42;8;4;4;неч;74;75;39;36;10;5;5
ШИЛКА-ТОВАРНАЯ;УРУЛЬГА;неч;74;68;34;34;10;5;5;чет;75;73;37;36;8;4;4
ПЕТРОВСКИЙ ЗАВОД;ПЕТРОВСКИЙ ЗАВОД;;;150;73;77;;;;;;145;71;74;;;
ХИЛОК;ЖИПХЕГЕН;неч;75;70;35;35;;;;чет;75;85;43;42;;;
УЛАН-УДЭ;КИЖА;чет;75;80;38;42;;;;неч;75;60;28;32;;;
ХИЛОК;ХИЛОК;;;154;76;78;;;;;;155;78;77;;;
ЧИТА I;МОГЗОН;неч;75;74;38;36;;;;чет;75;85;43;42;;;
ПЕТРОВСКИЙ ЗАВОД;ЖИПХЕГЕН;чет;75;80;38;42;;;;неч;75;70;35;35;;;
ОЛОВЯННАЯ;ОЛОВЯННАЯ;;;26;13;13;;;;;;26;13;13;;;
БОРЗЯ;ЯСНОГОРСК-ЗАБАЙКАЛЬСКИЙ;неч;24;14;7;7;;;;чет;24;12;6;6;;;
КАРЫМСКАЯ;МОГОЙТУЙ;чет;23;12;6;6;;;;неч;23;14;7;7;;;
БОРЗЯ;БОРЗЯ;;;24;12;12;;;;;;23;11;12;;;
ЗАБАЙКАЛЬСК;ХАРАНОР;неч;24;12;6;6;;;;чет;24;10;5;5;;;
ОЛОВЯННАЯ;ЗУН-ТОРЕЙ;чет;24;12;6;6;;;;неч;24;13;6;7;;;
ЗАБАЙКАЛЬСК;ЗАБАЙКАЛЬСК;;;19;10;9;;;;;;18;9;9;;;
ЗАБАЙКАЛЬСК (КИТАЙ);ЗАБАЙКАЛЬСК (КИТАЙ);неч;20;7;4;3;;;;чет;21;6;3;3;;;
БОРЗЯ;ХАРАНОР;чет;21;12;6;6;;;;неч;20;12;6;6;;;
АРХАРА;АРХАРА;;;167;78;89;;;;;;165;80;85;;;
ОБЛУЧЬЕ;ОБЛУЧЬЕ;неч;70;75;35;40;;;;чет;70;85;40;45;;;
БЕЛОГОРСК;БУРЕЯ;чет;70;92;43;49;;;;неч;70;80;40;40;;;
ШИЛКА-ТОВАРНАЯ;ШИЛКА-ТОВАРНАЯ;;;143;72;71;;;;;;141;71;70;;;
ЧЕРНЫШЕВСК-ЗАБАЙКАЛЬ;ШИЛКА-ПАССАЖИРСКАЯ;неч;52;70;35;35;;;;чет;52;73;37;36;;;
КАРЫМСКАЯ;СОЛНЦЕВАЯ;чет;52;73;37;36;;;;неч;52;68;34;34;;;
ЧЕРНЫШЕВСК-ЗАБАЙКАЛЬ;ЧЕРНЫШЕВСК-ЗАБАЙКАЛЬСКИЙ;;;143;72;71;;;;;;146;75;71;;;
МОГОЧА;ЖИРЕКЕН;неч;52;70;35;35;;;;чет;52;76;40;36;;;
ШИЛКА-ТОВАРНАЯ;КУЭНГА;чет;52;73;37;36;;;;неч;52;70;35;35;;;
МОГОЧА;МОГОЧА;;;156;78;78;;;;;;150;75;75;;;
УРУША;АМАЗАР;неч;52;80;38;42;;;;чет;52;80;40;40;;;
ЧЕРНЫШЕВСК-ЗАБАЙКАЛЬ;КСЕНЬЕВСКАЯ;чет;52;76;40;36;;;;неч;52;70;35;35;;;
УРУША;УРУША;;;164;81;83;;;;;;163;78;85;;;
СКОВОРОДИНО;БАМОВСКАЯ;неч;52;84;41;43;;;;чет;52;93;43;50;;;
МОГОЧА;ЕРОФЕЙ ПАВЛОВИЧ;чет;52;80;40;40;;;;неч;52;70;35;35;;;
БЕЛОГОРСК;БЕЛОГОРСК;;;;;;;;;;;;;;;;
АРХАРА;БЕЛОГОРСК II;неч;70;75;35;40;;;;чет;70;85;40;45;;;
ШИМАНОВСКАЯ;ЛЕДЯНАЯ;чет;70;93;44;49;;;;неч;70;83;42;41;;;
СКОВОРОДИНО;ГОРЕЛЫЙ;;;170;89;81;17;9;8;;;175;85;90;16;8;8
МАГДАГАЧИ;СКОВОРОДИНО;неч;70;85;45;40;;;;чет;65;95;47;48;;;
УРУША;БАМОВСКАЯ;чет;65;85;44;41;;;;неч;70;80;38;42;;;
МАГДАГАЧИ;МАГДАГАЧИ;;;176;88;88;;;;;;177;85;92;;;
ШИМАНОВСКАЯ;УШУМУН;неч;70;83;42;41;;;;чет;70;93;44;49;;;
СКОВОРОДИНО;ТАЛДАН;чет;70;93;46;47;;;;неч;70;84;41;43;;;
ШИМАНОВСКАЯ;ШИМАНОВСКАЯ;;;175;87;88;;;;;;177;88;89;;;
БЕЛОГОРСК;ЛЕДЯНАЯ;неч;70;80;40;40;;;;чет;70;92;43;49;;;
МАГДАГАЧИ;УШУМУН;чет;70;95;47;48;;;;неч;70;85;45;40;;;
