station;loco_region;norm_time;name;esr;comment;message
2000039908;2002119301;2376;МЕЖДУРЕЧЕНСК;86490;;+priority_team_change_station(id(2000039908))
2000035110;2002119286;1152;АЧИНСК I;88000;;+priority_team_change_station(id(2000035110))
2000035130;2002119322;3600;МАРИИНСК;88010;;+priority_team_change_station(id(2000035130))
2000035162;2002119322;5940;БОГОТОЛ;88080;;+priority_team_change_station(id(2000035162))
2000035566;2002119301;7200;АБАКАН;88800;;+priority_team_change_station(id(2000035566))
2000035688;2002119301;4752;САЯНСКАЯ;88910;;+priority_team_change_station(id(2000035688))
2000035782;2002119322;3366;КРАСНОЯРСК-ВОСТОЧНЫЙ;89020;;+priority_team_change_station(id(2000035782))
2000036018;2002119322;5940;ИЛАНСКАЯ;89370;;+priority_team_change_station(id(2000036018))
2000036154;2002119301;5526;СЕВЕРОБАЙКАЛЬСК;90320;;+priority_team_change_station(id(2000036154))
2000036192;2002119301;3906;НОВЫЙ УОЯН;90360;;+priority_team_change_station(id(2000036192))
2000036208;2002119307;6642;НОВАЯ ЧАРА;90430;;+priority_team_change_station(id(2000036208))
2000036228;2002119307;5796;ТАКСИМО;90440;;+priority_team_change_station(id(2000036228))
2000036234;2002119307;11520;ХАНИ;90460;;+priority_team_change_station(id(2000036234))
2000036238;2002119307;13752;ЮКТАЛИ;90470;У Акима: 77 минут;+priority_team_change_station(id(2000036238))
2000036300;2002119307;7200;ТЫНДА;91000;;+priority_team_change_station(id(2000036300))
2000036356;2002119307;13752;ВЕРХНЕЗЕЙСК;91320;У Акима: 84 минуты;+priority_team_change_station(id(2000036356))
2000036384;2002119307;21240;ФЕВРАЛЬСК;91610;У Акима: 77 минут;+priority_team_change_station(id(2000036384))
2000036422;2002119307;7200;НОВЫЙ УРГАЛ;91710;;+priority_team_change_station(id(2000036422))
2000036446;2002119305;7560;ТЫРМА;91770;;+priority_team_change_station(id(2000036446))
2000036498;2002119307;7920;ПОСТЫШЕВО;91890;;+priority_team_change_station(id(2000036498))
2000036518;2002119314;8280;ТАЙШЕТ;92000;;+priority_team_change_station(id(2000036518))
2000036604;2002119322;3636;НИЖНЕУДИНСК;92120;;+priority_team_change_station(id(2000036604))
2000036710;2002119322;2412;ЗИМА;92310;;+priority_team_change_station(id(2000036710))
2000036796;2002119314;6372;ВИХОРЕВКА;92440;;+priority_team_change_station(id(2000036796))
2000036868;2002119314;6372;КОРШУНИХА-АНГАРСКАЯ;92570;;+priority_team_change_station(id(2000036868))
2000036932;2002119314;6516;ЛЕНА;92710;;+priority_team_change_station(id(2000036932))
2000036956;2002119323;6840;ИРКУТСК-СОРТИРОВОЧНЫЙ;93000;;+priority_team_change_station(id(2000036956))
2000037186;2002119323;2340;СЛЮДЯНКА I;93330;;+priority_team_change_station(id(2000037186))
2000037398;2002119299;2772;УЛАН-УДЭ;93550;;+priority_team_change_station(id(2000037398))
2000037548;2002119299;4770;ЧИТА I;94000;;+priority_team_change_station(id(2000037548))
2000037604;2002119299;4086;ХИЛОК;94090;;+priority_team_change_station(id(2000037604))
2000037746;2002119294;7559;КАРЫМСКАЯ;94310;;+priority_team_change_station(id(2000037746))
2000037792;2002119299;1152;ОЛОВЯННАЯ;94390;;+priority_team_change_station(id(2000037792))
2000037816;2002119288;1152;БОРЗЯ;94470;;+priority_team_change_station(id(2000037816))
2000037980;2002119294;3096;ЧЕРНЫШЕВСК-ЗАБАЙКАЛЬСКИЙ;94910;;+priority_team_change_station(id(2000037980))
2000038022;2002119294;4680;БЕЛОГОРСК;95000;;+priority_team_change_station(id(2000038022))
2000038028;2002119294;2412;БЕЛОГОРСК II;95010;;+priority_team_change_station(id(2000038028))
2000038060;2002119294;3581;МОГОЧА;95080;;+priority_team_change_station(id(2000038060))
2000038102;2002119294;3042;УРУША;95130;;+priority_team_change_station(id(2000038102))
2000038138;2002119294;2412;СКОВОРОДИНО;95170;;+priority_team_change_station(id(2000038138))
2000038192;2002119294;3852;МАГДАГАЧИ;95250;;+priority_team_change_station(id(2000038192))
2000038358;2002119296;7200;КОМСОМОЛЬСК-НА-АМУРЕ-СОРТИРОВОЧНЫЙ;96000;;+priority_team_change_station(id(2000038358))
2000038402;2002119294;2412;ОБЛУЧЬЕ;96140;;+priority_team_change_station(id(2000038402))
2000038474;2002119294;5400;ВОЛОЧАЕВКА II;96380;;+priority_team_change_station(id(2000038474))
2000038568;2002119296;5400;ВЫСОКОГОРНАЯ;96650;;+priority_team_change_station(id(2000038568))
2000038600;2002119296;2412;ВАНИНО;96760;тут меняются бригады?? Или едут на СовГавань?;+priority_team_change_station(id(2000038600))
2000038624;2002119294;3960;ХАБАРОВСК II;97000;;+priority_team_change_station(id(2000038624))
2000038736;2002119320;2412;РУЖИНО;97370;;+priority_team_change_station(id(2000038736))
2000038840;2002119320;2412;ВЛАДИВОСТОК;98000;;+priority_team_change_station(id(2000038840))
2000038904;2002119320;5400;СМОЛЯНИНОВО;98280;;+priority_team_change_station(id(2000038904))
2000038950;2002119312;7560;НАХОДКА;98450;нужна ли смена в просто Находке?;+priority_team_change_station(id(2000038950))
2000038976;2002119312;2412;НАХОДКА-ВОСТОЧНАЯ;98590;;+priority_team_change_station(id(2000038976))
2000039074;2002119292;1152;ГВОЗДЕВО;98750;;+priority_team_change_station(id(2000039074))
2000039048;2002119292;4320;УССУРИЙСК;98830;;+priority_team_change_station(id(2000039048))
2000039126;2002119292;2412;ГРОДЕКОВО;98920;;+priority_team_change_station(id(2000039126))
